design_name,variant,macros,clock_ns,utilization,macro_place,power_mesh,filler,mean_ir_drop,max_ir_drop,std_ir_drop,p90_ir_drop,p99_ir_drop,hotspot_pct
RISCY,a,3,2,0.7,1,4,0,0.186414979,9.53311,0.055555,0.5471405,2.6077335,0.04312702
RISCY,b,1,30,0.8,3,3,1,0.01533376,0.59092,0.045640112,0.044167,0.239313,0.049379439
RISCY,b,2,2,0.7,3,6,1,0.210524422,13.5936,0.86186494,0.517446,4.3116627,0.021746867
RISCY,a,3,2,0.85,5,4,1,0.370137486,23.6899,1.415869431,0.9221311,6.8953286,0.019290928
RISCY,c,3,5,0.7,1,4,1,0.031714903,1.31994,0.098026591,0.0894666,1.2365,0.044149888
RISCY,a,3,20,0.75,1,4,1,0.05632,2.47341,0.074587818,0.1122773,0.34643083,0.05823206
RISCY,b,3,5,0.6,3,2,1,0.042408275,1.78796,0.149117064,0.100553,0.87462819,0.036913175
RISC,a,3,2,0.8,2,6,0,0.185420075,8.98033,0.615699554,0.4755379,3.4909339,0.031367565
RISCY,a,2,6,0.7,1,3,1,0.081564814,5.22035,0.207563438,0.26536,1.002586,0.050603153
RISCY,a,1,5,0.85,2,1,0,0.076293022,7.01791,0.207807582,0.223875,1.111672,2
RISCY,a,2,20,0.7,1,2,1,0.036457151,0.869095,0.087239597,0.8623146,0.4587414,0.047301551
RISCY,b,1,2,0.9,2,4,1,0.262904039,32.3842,1.013063045,0.9808842,3.2469,0.025842779
RISCY,a,1,20,0.9,1,2,1,0.021745582,1.176,0.050635396,0.064373,0.245392,0.054093895
RISCY,a,6,2,0.75,4,8,0,0.230769921,3.417893,0.523906643,0.94074,2.349578,0.058318923
